year	datetime	stage	regular_season	playoffs	opponent	seed	opponent_seed	home_away	home	away	status	played	postponed	future	new_date	outcome	win	loss	tie	forfeit	runs_scored	runs_allowed	note
2013	2013-08-20 17:30:00	playoffs	False	True	Toxic Waste	5	2	away	False	True	played	True	False	False		loss	False	True	False	False	10	14	
2014	2014-05-21 17:30:00	regular season	True	False	Corn Wallaces			home	True	False	played	True	False	False		win	True	False	False	False	13	12	
2014	2014-06-05 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	8	14	
2014	2014-06-10 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		loss	False	True	False	False	11	23	
2014	2014-06-18 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		win	True	False	False	False	21	1	6 innings, mercy rule
2014	2014-06-24 17:30:00	regular season	True	False	PHRD Sox			away	False	True	played	True	False	False		win	True	False	False	False	23	11	
2014	2014-07-09 17:30:00	regular season	True	False	Corn Wallaces			away	False	True	postponed	False	True	False	2014-07-28								lightning
2014	2014-07-15 17:30:00	regular season	True	False	Toxic Waste			home	True	False	postponed	False	True	False	2014-07-21								rain
2014	2014-07-21 17:30:00	regular season	True	False	Toxic Waste			home	True	False	postponed	False	True	False	2014-08-01								rain
2014	2014-07-23 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		loss	False	True	False	False	10	24	
2014	2014-07-28 17:30:00	regular season	True	False	Corn Wallaces			away	False	True	played	True	False	False		loss	False	True	False	False	12	14	
2014	2014-07-31 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	6	12	
2014	2014-08-01 17:30:00	regular season	True	False	Toxic Waste			home	True	False	postponed	False	True	False	2014-08-14								rain
2014	2014-08-06 17:30:00	regular season	True	False	PHRD Sox			home	True	False	played	True	False	False		win	True	False	False	False	30	4	5 innings, mercy rule
2014	2014-08-14 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	21	9	
2014	2014-08-26 17:30:00	playoffs	False	True	Corn Wallaces	4	5	home	True	False	played	True	False	False		win	True	False	False	False	11	6	
2014	2014-08-28 17:30:00	playoffs	False	True	Chuck Norris All-Stars	4	1	away	False	True	played	True	False	False		loss	False	True	False	False	9	13	
2014	2014-09-04 17:30:00	playoffs	False	True	PHRD Sox	4	6	home	True	False	postponed	False	True	False	2014-09-08								rain
2014	2014-09-08 17:30:00	playoffs	False	True	PHRD Sox	4	6	home	True	False	postponed	False	True	False	2014-09-09								rain
2014	2014-09-09 17:30:00	playoffs	False	True	PHRD Sox	4	6	home	True	False	postponed	False	True	False	2014-09-10								rain
2014	2014-09-10 17:30:00	playoffs	False	True	PHRD Sox	4	6	home	True	False	played	True	False	False		win	True	False	False	False	22	11	
2014	2014-09-16 17:30:00	playoffs	False	True	Toxic Waste	4	3	away	False	True	played	True	False	False		loss	False	True	False	False	10	22	
2015	2015-05-13 17:30:00	regular season	True	False	Ochos			home	True	False	played	True	False	False		win	True	False	False	False	19	7	5 innings, mercy rule
2015	2015-05-19 17:30:00	regular season	True	False	Toxic Waste			away	False	True	played	True	False	False		loss	False	True	False	False	18	19	
2015	2015-06-02 17:30:00	regular season	True	False	Corn Wallaces			home	True	False	played	True	False	False		win	True	False	False	False	15	7	
2015	2015-06-10 17:30:00	regular season	True	False	PHRD Sox			away	False	True	played	True	False	False		win	True	False	False	False	25	7	5 innings, mercy rule
2015	2015-06-25 17:30:00	regular season	True	False	Chuck Norris All-Stars			away	False	True	played	True	False	False		win	True	False	False	False	20	14	
2015	2015-07-09 17:30:00	regular season	True	False	Loose Cannons			home	True	False	played	True	False	False		loss	False	True	False	False	2	9	
2015	2015-07-15 17:30:00	regular season	True	False	Ochos			away	False	True	played	True	False	False		win	True	False	False	False	15	7	
2015	2015-07-23 17:30:00	regular season	True	False	Toxic Waste			home	True	False	played	True	False	False		win	True	False	False	False	13	0	5 innings, mercy rule
2015	2015-07-30 17:30:00	regular season	True	False	Corn Wallaces			away	False	True	played	True	False	False		win	True	False	False	False	21	4	4 innings, mercy rule
2015	2015-08-05 17:30:00	regular season	True	False	PHRD Sox			home	True	False	played	True	False	False		win	True	False	False	False	23	0	4 innings, mercy rule
2015	2015-08-18 17:30:00	regular season	True	False	Chuck Norris All-Stars			home	True	False	played	True	False	False		win	True	False	False	False	21	16	
2015	2015-08-25 17:30:00	regular season	True	False	Loose Cannons			away	False	True	played	True	False	False		loss	False	True	False	False	11	12	
2015	2015-09-10 17:30:00	playoffs	False	True	Corn Wallaces	2	3	home	True	False	played	True	False	False		win	True	False	False	True	7	0	
2015	2015-09-17 17:30:00	playoffs	False	True	Chuck Norris All-Stars	2	4	home	True	False	played	True	False	False		loss	False	True	False	False	18	20	
2015	2015-09-23 17:30:00	playoffs	False	True	Loose Cannons	2	1	away	False	True	played	True	False	False		loss	False	True	False	False	9	18	
2016	2016-05-10 17:30:00	regular season	True	False	Ochos			away	False	True	played	True	False	False		win	True	False	False	False	12	10	8 innings
2016	2016-05-17 17:30:00	regular season	True	False	bandITS			home	True	False	postponed	False	True	False	2016-06-06								rain
2016	2016-05-24 17:30:00	regular season	True	False	Sudden Impact			away	False	True	played	True	False	False		win	True	False	False	False	22	6	6 innings, mercy rule
2016	2016-06-06 17:30:00	regular season	True	False	bandITS			home	True	False	postponed	False	True	False	2016-08-10								rain
